contact_info,email,contact_id,first_name,last_name
"{""contact_id"": 4661, ""name"": ""Cecilia Velasco"", ""email"": ""cecilia.velasco@rodrigues.fr""}",cecilia.velasco@rodrigues.fr,4661,Cecilia,Velasco
"{""contact_id"": 3765, ""name"": ""Mariana Ellis"", ""email"": ""mariana.ellis@rossi.org""}",mariana.ellis@rossi.org,3765,Mariana,Ellis
"{""contact_id"": 4187, ""name"": ""Sofie Woods"", ""email"": ""sofie.woods@riviere.com""}",sofie.woods@riviere.com,4187,Sofie,Woods
"{""contact_id"": 4941, ""name"": ""Jeanette Iannotti"", ""email"": ""jeanette.iannotti@yahoo.com""}",jeanette.iannotti@yahoo.com,4941,Jeanette,Iannotti
"{""contact_id"": 2199, ""name"": ""Samuel Sorgatz"", ""email"": ""samuel.sorgatz@gmail.com""}",samuel.sorgatz@gmail.com,2199,Samuel,Sorgatz
"{""contact_id"": 5650, ""name"": ""Socorro Luna"", ""email"": ""socorro.luna@hotmail.com""}",socorro.luna@hotmail.com,5650,Socorro,Luna
"{""contact_id"": 5889, ""name"": ""Carolina Murray"", ""email"": ""carolina.murray@knight.com""}",carolina.murray@knight.com,5889,Carolina,Murray
"{""contact_id"": 4842, ""name"": ""Kayla Moon"", ""email"": ""kayla.moon@yahoo.de""}",kayla.moon@yahoo.de,4842,Kayla,Moon
"{""contact_id"": 3280, ""name"": ""Ariadna Geisel"", ""email"": ""ariadna.geisel@rangel.com""}",ariadna.geisel@rangel.com,3280,Ariadna,Geisel
"{""contact_id"": 5468, ""name"": ""Danielle Ladeck"", ""email"": ""danielle.ladeck@scalfaro.net""}",danielle.ladeck@scalfaro.net,5468,Danielle,Ladeck
"{""contact_id"": 3064, ""name"": ""Tatiana Thompson"", ""email"": ""tatiana.thompson@hunt.net""}",tatiana.thompson@hunt.net,3064,Tatiana,Thompson
"{""contact_id"": 4904, ""name"": ""Caleb Benavides"", ""email"": ""caleb.benavides@rubio.com""}",caleb.benavides@rubio.com,4904,Caleb,Benavides
"{""contact_id"": 1299, ""name"": ""Sandra Hardy"", ""email"": ""sandra.hardy@web.de""}",sandra.hardy@web.de,1299,Sandra,Hardy
"{""contact_id"": 5602, ""name"": ""Lotti Morris"", ""email"": ""lotti.morris@yahoo.co.uk""}",lotti.morris@yahoo.co.uk,5602,Lotti,Morris
"{""contact_id"": 5753, ""name"": ""Reinhilde White"", ""email"": ""reinhilde.white@voila.fr""}",reinhilde.white@voila.fr,5753,Reinhilde,White
